0.00.210.409 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.515.546 I srv    load_model: loading model 'D:\forPublic\.local-model-cache\nvidia\Qwen3.6-27B-NVFP4-GGUF\qwen3.6-27b-nvfp4-mtp.gguf'
0.18.103.893 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 200192, kv_unified = 'false'
0.18.168.218 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.18.168.615 I srv  llama_server: model loaded
0.18.168.636 I srv  llama_server: listening on http://0.0.0.0:39195
0.22.725.098 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
1.03.217.401 I slot print_timing: id  0 | task 1031 | prompt processing, n_tokens =  38912, progress = 0.27, t =  13.93 s / 2793.70 tokens per second
1.04.174.243 I slot print_timing: id  0 | task 1031 | prompt processing, n_tokens =  40960, progress = 0.28, t =  14.89 s / 2751.71 tokens per second
1.05.175.388 I slot print_timing: id  0 | task 1031 | prompt processing, n_tokens =  43008, progress = 0.29, t =  15.89 s / 2707.21 tokens per second
1.06.197.657 I slot print_timing: id  0 | task 1031 | prompt processing, n_tokens =  45056, progress = 0.31, t =  16.91 s / 2664.66 tokens per second
1.07.261.690 I slot print_timing: id  0 | task 1031 | prompt processing, n_tokens =  47104, progress = 0.32, t =  17.97 s / 2620.85 tokens per second
1.08.340.651 I slot print_timing: id  0 | task 1031 | prompt processing, n_tokens =  49152, progress = 0.33, t =  19.05 s / 2579.93 tokens per second
1.09.462.384 I slot print_timing: id  0 | task 1031 | prompt processing, n_tokens =  51200, progress = 0.34, t =  20.17 s / 2537.99 tokens per second
1.10.605.002 I slot print_timing: id  0 | task 1031 | prompt processing, n_tokens =  53248, progress = 0.35, t =  21.32 s / 2498.02 tokens per second
1.11.777.168 I slot print_timing: id  0 | task 1031 | prompt processing, n_tokens =  55296, progress = 0.36, t =  22.49 s / 2458.89 tokens per second
1.12.969.624 I slot print_timing: id  0 | task 1031 | prompt processing, n_tokens =  57344, progress = 0.38, t =  23.68 s / 2421.55 tokens per second
1.14.196.537 I slot print_timing: id  0 | task 1031 | prompt processing, n_tokens =  59392, progress = 0.39, t =  24.91 s / 2384.49 tokens per second
1.15.447.481 I slot print_timing: id  0 | task 1031 | prompt processing, n_tokens =  61440, progress = 0.40, t =  26.16 s / 2348.75 tokens per second
1.16.716.868 I slot print_timing: id  0 | task 1031 | prompt processing, n_tokens =  63488, progress = 0.41, t =  27.43 s / 2314.72 tokens per second
1.18.011.935 I slot print_timing: id  0 | task 1031 | prompt processing, n_tokens =  65536, progress = 0.42, t =  28.72 s / 2281.66 tokens per second
1.19.337.939 I slot print_timing: id  0 | task 1031 | prompt processing, n_tokens =  67584, progress = 0.44, t =  30.05 s / 2249.13 tokens per second
1.20.685.194 I slot print_timing: id  0 | task 1031 | prompt processing, n_tokens =  69632, progress = 0.45, t =  31.40 s / 2217.84 tokens per second
1.22.052.268 I slot print_timing: id  0 | task 1031 | prompt processing, n_tokens =  71680, progress = 0.46, t =  32.76 s / 2187.81 tokens per second
1.23.445.971 I slot print_timing: id  0 | task 1031 | prompt processing, n_tokens =  73728, progress = 0.47, t =  34.16 s / 2158.50 tokens per second
1.24.856.936 I slot print_timing: id  0 | task 1031 | prompt processing, n_tokens =  75776, progress = 0.48, t =  35.57 s / 2130.45 tokens per second
1.26.297.215 I slot print_timing: id  0 | task 1031 | prompt processing, n_tokens =  77824, progress = 0.49, t =  37.01 s / 2102.88 tokens per second
1.27.756.713 I slot print_timing: id  0 | task 1031 | prompt processing, n_tokens =  79872, progress = 0.51, t =  38.47 s / 2076.33 tokens per second
1.29.233.735 I slot print_timing: id  0 | task 1031 | prompt processing, n_tokens =  81920, progress = 0.52, t =  39.94 s / 2050.83 tokens per second
1.30.744.657 I slot print_timing: id  0 | task 1031 | prompt processing, n_tokens =  83968, progress = 0.53, t =  41.46 s / 2025.49 tokens per second
1.32.279.480 I slot print_timing: id  0 | task 1031 | prompt processing, n_tokens =  86016, progress = 0.54, t =  42.99 s / 2000.81 tokens per second
1.33.832.056 I slot print_timing: id  0 | task 1031 | prompt processing, n_tokens =  88064, progress = 0.55, t =  44.54 s / 1977.05 tokens per second
1.35.413.864 I slot print_timing: id  0 | task 1031 | prompt processing, n_tokens =  90112, progress = 0.56, t =  46.12 s / 1953.65 tokens per second
1.37.014.374 I slot print_timing: id  0 | task 1031 | prompt processing, n_tokens =  92160, progress = 0.58, t =  47.73 s / 1931.05 tokens per second
1.38.640.517 I slot print_timing: id  0 | task 1031 | prompt processing, n_tokens =  94208, progress = 0.59, t =  49.35 s / 1908.92 tokens per second
1.40.285.810 I slot print_timing: id  0 | task 1031 | prompt processing, n_tokens =  96256, progress = 0.60, t =  51.00 s / 1887.49 tokens per second
1.41.959.167 I slot print_timing: id  0 | task 1031 | prompt processing, n_tokens =  98304, progress = 0.61, t =  52.67 s / 1866.41 tokens per second
1.43.655.008 I slot print_timing: id  0 | task 1031 | prompt processing, n_tokens = 100352, progress = 0.62, t =  54.37 s / 1845.86 tokens per second
1.45.377.458 I slot print_timing: id  0 | task 1031 | prompt processing, n_tokens = 102400, progress = 0.63, t =  56.09 s / 1825.69 tokens per second
1.47.116.780 I slot print_timing: id  0 | task 1031 | prompt processing, n_tokens = 104448, progress = 0.65, t =  57.83 s / 1806.19 tokens per second
1.48.871.037 I slot print_timing: id  0 | task 1031 | prompt processing, n_tokens = 106496, progress = 0.66, t =  59.58 s / 1787.38 tokens per second
1.50.669.863 I slot print_timing: id  0 | task 1031 | prompt processing, n_tokens = 108544, progress = 0.67, t =  61.38 s / 1768.37 tokens per second
1.52.474.020 I slot print_timing: id  0 | task 1031 | prompt processing, n_tokens = 110592, progress = 0.68, t =  63.19 s / 1750.29 tokens per second
1.54.308.878 I slot print_timing: id  0 | task 1031 | prompt processing, n_tokens = 112640, progress = 0.69, t =  65.02 s / 1732.39 tokens per second
1.56.157.066 I slot print_timing: id  0 | task 1031 | prompt processing, n_tokens = 114688, progress = 0.70, t =  66.87 s / 1715.14 tokens per second
1.58.035.608 I slot print_timing: id  0 | task 1031 | prompt processing, n_tokens = 116736, progress = 0.72, t =  68.75 s / 1698.06 tokens per second
1.59.948.607 I slot print_timing: id  0 | task 1031 | prompt processing, n_tokens = 118784, progress = 0.73, t =  70.66 s / 1681.07 tokens per second
2.01.876.807 I slot print_timing: id  0 | task 1031 | prompt processing, n_tokens = 120832, progress = 0.74, t =  72.59 s / 1664.63 tokens per second
2.03.821.991 I slot print_timing: id  0 | task 1031 | prompt processing, n_tokens = 122880, progress = 0.75, t =  74.53 s / 1648.66 tokens per second
2.05.791.289 I slot print_timing: id  0 | task 1031 | prompt processing, n_tokens = 124928, progress = 0.76, t =  76.50 s / 1633.00 tokens per second
2.07.773.336 I slot print_timing: id  0 | task 1031 | prompt processing, n_tokens = 126976, progress = 0.78, t =  78.48 s / 1617.85 tokens per second
2.09.796.455 I slot print_timing: id  0 | task 1031 | prompt processing, n_tokens = 129024, progress = 0.79, t =  80.51 s / 1602.63 tokens per second
2.11.836.288 I slot print_timing: id  0 | task 1031 | prompt processing, n_tokens = 131072, progress = 0.80, t =  82.55 s / 1587.84 tokens per second
2.13.889.506 I slot print_timing: id  0 | task 1031 | prompt processing, n_tokens = 133120, progress = 0.81, t =  84.60 s / 1573.51 tokens per second
2.15.971.935 I slot print_timing: id  0 | task 1031 | prompt processing, n_tokens = 135168, progress = 0.82, t =  86.68 s / 1559.34 tokens per second
2.18.087.285 I slot print_timing: id  0 | task 1031 | prompt processing, n_tokens = 137216, progress = 0.83, t =  88.80 s / 1545.25 tokens per second
2.20.217.344 I slot print_timing: id  0 | task 1031 | prompt processing, n_tokens = 139264, progress = 0.85, t =  90.93 s / 1531.58 tokens per second
2.22.365.636 I slot print_timing: id  0 | task 1031 | prompt processing, n_tokens = 141312, progress = 0.86, t =  93.08 s / 1518.23 tokens per second
2.24.543.111 I slot print_timing: id  0 | task 1031 | prompt processing, n_tokens = 143360, progress = 0.87, t =  95.25 s / 1505.03 tokens per second
2.26.735.389 I slot print_timing: id  0 | task 1031 | prompt processing, n_tokens = 145408, progress = 0.88, t =  97.45 s / 1492.18 tokens per second
2.28.961.856 I slot print_timing: id  0 | task 1031 | prompt processing, n_tokens = 147456, progress = 0.89, t =  99.67 s / 1479.40 tokens per second
2.31.214.989 I slot print_timing: id  0 | task 1031 | prompt processing, n_tokens = 149504, progress = 0.90, t = 101.93 s / 1466.79 tokens per second
2.33.479.350 I slot print_timing: id  0 | task 1031 | prompt processing, n_tokens = 151552, progress = 0.92, t = 104.19 s / 1454.57 tokens per second
2.35.763.211 I slot print_timing: id  0 | task 1031 | prompt processing, n_tokens = 153600, progress = 0.93, t = 106.47 s / 1442.60 tokens per second
2.38.079.096 I slot print_timing: id  0 | task 1031 | prompt processing, n_tokens = 155648, progress = 0.94, t = 108.79 s / 1430.72 tokens per second
2.40.418.450 I slot print_timing: id  0 | task 1031 | prompt processing, n_tokens = 157696, progress = 0.95, t = 111.13 s / 1419.03 tokens per second
2.42.779.470 I slot print_timing: id  0 | task 1031 | prompt processing, n_tokens = 159744, progress = 0.96, t = 113.49 s / 1407.55 tokens per second
2.45.167.250 I slot print_timing: id  0 | task 1031 | prompt processing, n_tokens = 161792, progress = 0.97, t = 115.88 s / 1396.22 tokens per second
2.47.575.317 I slot print_timing: id  0 | task 1031 | prompt processing, n_tokens = 163840, progress = 0.99, t = 118.29 s / 1385.11 tokens per second
2.49.886.068 I slot print_timing: id  0 | task 1031 | prompt processing, n_tokens = 165683, progress = 1.00, t = 120.60 s / 1373.86 tokens per second
2.50.437.138 I slot print_timing: id  0 | task 1031 | prompt processing, n_tokens = 166195, progress = 1.00, t = 121.15 s / 1371.83 tokens per second
2.53.747.746 I slot print_timing: id  0 | task 1031 | n_decoded =    100, tg =  32.82 t/s, tg_3s =  32.82 t/s
2.56.751.971 I slot print_timing: id  0 | task 1031 | n_decoded =    199, tg =  32.89 t/s, tg_3s =  32.95 t/s
2.59.778.888 I slot print_timing: id  0 | task 1031 | n_decoded =    298, tg =  32.83 t/s, tg_3s =  32.71 t/s
3.02.782.942 I slot print_timing: id  0 | task 1031 | n_decoded =    397, tg =  32.86 t/s, tg_3s =  32.96 t/s
3.05.789.220 I slot print_timing: id  0 | task 1031 | n_decoded =    496, tg =  32.87 t/s, tg_3s =  32.93 t/s
3.08.789.777 I slot print_timing: id  0 | task 1031 | n_decoded =    594, tg =  32.84 t/s, tg_3s =  32.66 t/s
3.11.800.594 I slot print_timing: id  0 | task 1031 | n_decoded =    693, tg =  32.84 t/s, tg_3s =  32.88 t/s
3.14.829.832 I slot print_timing: id  0 | task 1031 | n_decoded =    792, tg =  32.82 t/s, tg_3s =  32.68 t/s
3.17.836.432 I slot print_timing: id  0 | task 1031 | n_decoded =    891, tg =  32.84 t/s, tg_3s =  32.93 t/s
3.20.837.255 I slot print_timing: id  0 | task 1031 | n_decoded =    990, tg =  32.85 t/s, tg_3s =  32.99 t/s
3.21.866.325 I slot print_timing: id  0 | task 1031 | prompt eval time =  121411.88 ms / 166199 tokens (    0.73 ms per token,  1368.89 tokens per second)
3.21.866.337 I slot print_timing: id  0 | task 1031 |        eval time =   31165.51 ms /  1024 tokens (   30.44 ms per token,    32.86 tokens per second)
3.21.866.339 I slot print_timing: id  0 | task 1031 |       total time =  152577.39 ms / 167223 tokens
3.21.866.340 I slot print_timing: id  0 | task 1031 |    graphs reused =       2037
3.21.871.139 I slot      release: id  0 | task 1031 | stop processing: n_tokens = 175613, truncated = 0
